q_speaker,assembly,q_party,q_sex,q_elect_type,q_birth,q_term_count,q_mona_cd
이진구,17,한나라당,,지역구,,초선,
주승용,17,열린우리당,,지역구,,4선,
한병도,17,열린우리당,,지역구,,3선,
정희수,17,한나라당,,지역구,,3선,
홍재형,17,열린우리당,,지역구,,3선,
허천,17,한나라당,,지역구,,재선,
강길부,17,열린우리당,,지역구,,4선,
김석준,17,한나라당,,지역구,,초선,
이낙연,17,새천년민주당,,지역구,,5선,
문학진,17,열린우리당,,지역구,,재선,
김재경,17,한나라당,,지역구,,4선,
이영순,17,민주노동당,,비례대표,,초선,
박상돈,17,열린우리당,,지역구,,재선,
박승환,17,한나라당,,지역구,,초선,
정진석,17,무소속,,지역구,,5선,
서재관,17,열린우리당,,지역구,,초선,
유정복,17,한나라당,,지역구,,3선,
유필우,17,열린우리당,,지역구,,초선,
윤두환,17,한나라당,,지역구,,3선,
장경수,17,열린우리당,,지역구,,초선,
심재철,17,한나라당,,지역구,,5선,
정성호,17,열린우리당,,지역구,,5선,
이인기,17,한나라당,,지역구,,3선,
정장선,17,열린우리당,,지역구,,3선,
이재창,17,한나라당,,지역구,,3선,
홍재형,18,통합민주당,,지역구,,3선,
김선미,18,열린우리당,,,,초선,
이재창,18,한나라당,,,,3선,
정장선,18,통합민주당,,지역구,,3선,
이진구,18,한나라당,,,,초선,
강길부,18,무소속,,지역구,,4선,
주승용,18,통합민주당,,지역구,,4선,
허태열,18,한나라당,,지역구,,3선,
이낙연,18,통합민주당,,지역구,,5선,
허천,18,한나라당,,지역구,,재선,
강창일,18,통합민주당,,지역구,,4선,
정희수,18,한나라당,,지역구,,3선,
이상경,18,대한독립촉성국민회,,,,,
김석준,18,한나라당,,,,초선,
유필우,18,열린우리당,,,,초선,
이영순,18,민주노동당,,,,초선,
김재경,18,한나라당,,지역구,,4선,
이시종,18,통합민주당,,지역구,,재선,
윤두환,18,한나라당,,지역구,,3선,
정진석,18,한나라당,,비례대표,,5선,
유정복,18,한나라당,,지역구,,3선,
한병도,18,더불어민주당,,,,3선,
박승환,18,한나라당,,,,초선,
이인기,18,무소속,,지역구,,3선,
서상기,17,한나라당,,비례대표,,3선,
유승희,17,열린우리당,,비례대표,,3선,
류근찬,17,자유민주연합,,지역구,,재선,
김명자,17,열린우리당,,비례대표,,초선,
심재엽,17,한나라당,,지역구,,초선,
박찬석,17,열린우리당,,비례대표,,초선,
진영,17,한나라당,,지역구,,4선,
홍창선,17,열린우리당,,비례대표,,초선,
강성종,17,열린우리당,,지역구,,재선,
권선택,17,열린우리당,,지역구,,재선,
김낙순,17,열린우리당,,지역구,,초선,
김희정,17,한나라당,,지역구,,3선,
김학원,17,자유민주연합,,지역구,,3선,
김영선,17,한나라당,,지역구,,5선,
서혜석,17,열린우리당,,비례대표,,초선,
강재섭,17,한나라당,,지역구,,5선,
염동연,17,열린우리당,,지역구,,초선,
변재일,17,열린우리당,,지역구,,5선,
이종걸,17,열린우리당,,지역구,,5선,
민병두,17,열린우리당,,비례대표,,3선,
주호영,17,한나라당,,지역구,,6선,
유기홍,17,열린우리당,,지역구,,3선,
이주호,17,한나라당,,비례대표,,초선,
김영춘,17,열린우리당,,지역구,,3선,
김영숙,17,한나라당,,비례대표,,초선,
이경숙,17,열린우리당,,비례대표,,초선,
이군현,17,한나라당,,비례대표,,4선,
정봉주,17,열린우리당,,지역구,,초선,
정문헌,17,한나라당,,지역구,,재선,
최재성,17,열린우리당,,지역구,,4선,
임해규,17,한나라당,,지역구,,재선,
이은영,17,열린우리당,,비례대표,,초선,
김교흥,17,열린우리당,,지역구,,3선,
안민석,17,열린우리당,,지역구,,5선,
최순영,17,민주노동당,,비례대표,,초선,
김교흥,18,더불어민주당,,,,3선,
김영숙,18,한나라당,,,,초선,
이은영,18,열린우리당,,,,초선,
이군현,18,한나라당,,지역구,,4선,
이경숙,18,민주정의당,,,,,
주호영,18,한나라당,,지역구,,6선,
양형일,18,열린우리당,,,,초선,
최순영,18,민주노동당,,,,초선,
천정배,18,통합민주당,,지역구,,6선,
정문헌,18,새누리당,,,,재선,
유기홍,18,더불어민주당,,,,3선,
이원복,18,한나라당,,,,재선,
김낙순,18,열린우리당,,,,초선,
민병두,18,더불어민주당,,,,3선,
안민석,18,통합민주당,,지역구,,5선,
송영선,17,한나라당,,비례대표,,재선,
공성진,17,한나라당,,지역구,,재선,
황진하,17,한나라당,,비례대표,,3선,
조성태,17,열린우리당,,비례대표,,초선,
김학송,17,한나라당,,지역구,,3선,
김진표,17,열린우리당,,지역구,,5선,
이성구,17,한나라당,,비례대표,,초선,
이인제,17,자유민주연합,,지역구,,6선,
이근식,17,열린우리당,,지역구,,초선,
김송자,17,민주당,,비례대표,,초선,
고조흥,17,한나라당,,지역구,,초선,
원혜영,17,열린우리당,,지역구,,5선,
안영근,17,열린우리당,,지역구,,재선,
조성태,18,열린우리당,,,,초선,
송영선,18,친박연대,,비례대표,,재선,
이근식,18,열린우리당,,,,초선,
맹형규,18,한나라당,,,,4선,
류재건,18,,,,,,
김학송,18,한나라당,,지역구,,3선,
박찬석,18,열린우리당,,,,초선,
이성구,18,한나라당,,,,초선,
원혜영,18,통합민주당,,지역구,,5선,
고조흥,18,한나라당,,,,초선,
김명자,18,열린우리당,,,,초선,
공성진,18,한나라당,,지역구,,재선,
김송자,18,민주당,,,,초선,
황진하,18,한나라당,,지역구,,3선,
최철국,17,열린우리당,,지역구,,재선,
박기춘,17,열린우리당,,지역구,,3선,
지병문,17,열린우리당,,지역구,,초선,
진수희,17,한나라당,,비례대표,,재선,
조일현,17,열린우리당,,지역구,,재선,
신상진,17,한나라당,,지역구,,4선,
김충환,17,한나라당,,지역구,,재선,
노웅래,17,열린우리당,,지역구,,4선,
선병렬,17,열린우리당,,지역구,,초선,
김영덕,17,한나라당,,지역구,,초선,
안경률,17,한나라당,,지역구,,3선,
김현미,17,열린우리당,,비례대표,,3선,
강기갑,17,민주노동당,,비례대표,,재선,
이강두,17,한나라당,,지역구,,4선,
한광원,17,열린우리당,,지역구,,초선,
조경태,17,열린우리당,,지역구,,6선,
이계진,17,한나라당,,지역구,,재선,
김우남,17,열린우리당,,지역구,,3선,
우윤근,17,열린우리당,,지역구,,3선,
신중식,17,열린우리당,,지역구,,초선,
이방호,17,한나라당,,지역구,,재선,
최규성,17,열린우리당,,지역구,,3선,
김형오,17,한나라당,,지역구,,5선,
이영호,17,열린우리당,,지역구,,초선,
홍문표,17,한나라당,,지역구,,4선,
김낙성,17,자유민주연합,,지역구,,재선,
정세균,17,열린우리당,,지역구,,6선,
김홍업,17,민주당,,지역구,,초선,
우상호,17,열린우리당,,지역구,,4선,
최구식,17,한나라당,,지역구,,재선,
이광철,17,열린우리당,,지역구,,초선,
손봉숙,17,새천년민주당,,비례대표,,초선,
이재오,17,한나라당,,지역구,,5선,
정청래,17,열린우리당,,지역구,,4선,
천영세,17,민주노동당,,비례대표,,초선,
강혜숙,17,열린우리당,,비례대표,,초선,
정병국,17,한나라당,,지역구,,5선,
김재윤,17,열린우리당,,지역구,,3선,
정종복,17,한나라당,,지역구,,초선,
박형준,17,한나라당,,지역구,,초선,
박찬숙,17,한나라당,,비례대표,,초선,
윤원호,17,열린우리당,,비례대표,,초선,
이재웅,17,한나라당,,지역구,,초선,
김재홍,17,열린우리당,,비례대표,,초선,
전여옥,17,한나라당,,비례대표,,재선,
류선호,17,,,,,,
전병헌,17,열린우리당,,지역구,,3선,
장윤석,17,한나라당,,지역구,,3선,
김희선,17,열린우리당,,지역구,,재선,
정청래,18,더불어민주당,,,,4선,
심재철,18,한나라당,,지역구,,5선,
전병헌,18,통합민주당,,지역구,,3선,
류선호,18,,,,,,
정병국,18,한나라당,,지역구,,5선,
우상호,18,더불어민주당,,,,4선,
이재웅,18,한나라당,,,,초선,
손봉숙,18,새천년민주당,,,,초선,
이광철,18,열린우리당,,,,초선,
장윤석,18,한나라당,,지역구,,3선,
윤원호,18,열린우리당,,,,초선,
천영세,18,민주노동당,,,,초선,
전여옥,18,한나라당,,지역구,,재선,
김재윤,18,통합민주당,,지역구,,3선,
정종복,18,한나라당,,,,초선,
지병문,18,열린우리당,,,,초선,
박찬숙,18,한나라당,,,,초선,
최구식,18,무소속,,지역구,,재선,
김희선,18,열린우리당,,,,재선,
강혜숙,18,열린우리당,,,,초선,
김형주,18,열린우리당,,,,초선,
김동철,17,열린우리당,,지역구,,4선,
김명주,17,한나라당,,지역구,,초선,
김한길,17,열린우리당,,지역구,,4선,
이주영,17,한나라당,,지역구,,5선,
문병호,17,열린우리당,,지역구,,재선,
최병국,17,한나라당,,지역구,,3선,
조순형,17,민주당,,지역구,,7선,
이상경,17,열린우리당,,지역구,,초선,
이상민,17,열린우리당,,지역구,,5선,
이용희,17,열린우리당,,지역구,,5선,
박세환,17,한나라당,,지역구,,초선,
문병호,18,민주통합당,,,,재선,
이주영,18,한나라당,,지역구,,5선,
조순형,18,자유선진당,,비례대표,,7선,
이재오,18,한나라당,,지역구,,5선,
선병렬,18,열린우리당,,,,초선,
김명주,18,한나라당,,,,초선,
노회찬,18,정의당,,,,3선,
김동철,18,통합민주당,,지역구,,4선,
박세환,18,한나라당,,,,,
이상민,18,자유선진당,,지역구,,5선,
주성영,18,한나라당,,지역구,,재선,
나경원,18,한나라당,,지역구,,5선,
이용희,18,자유선진당,,지역구,,5선,
최재천,18,민주통합당,,,,재선,
김종률,18,통합민주당,,지역구,,재선,
김덕규,17,열린우리당,,지역구,,5선,
전재희,17,한나라당,,지역구,,4선,
장향숙,17,열린우리당,,비례대표,,초선,
현애자,17,민주노동당,,비례대표,,초선,
